graph_control,graph_source,lsd_vs_placebo_receptor_transition_energy_reduction_pct,receptor_vs_random_energy_reduction_pct,receptor_vs_uniform_energy_reduction_pct,rewire_index,state_target_alignment_receptor,support_score
hcp_structural_graph,hcp_structural_graph; HCP/normative structural graph sensitivity from results/structural_connectome/hcp_macro_modules.csv,3.953129650458284,-3.5743230331016322,-19.949841685068346,,0.13300315069221882,0.3026996241710782
uniform_weight_graph,uniform_weight_graph; HCP/normative structural graph sensitivity from results/structural_connectome/hcp_macro_modules.csv,3.8943761126498955,-3.8037579518995353,-22.248470095783038,,0.13300315069221882,0.3155233041221932
degree_expected_graph,degree_expected_graph; HCP/normative structural graph sensitivity from results/structural_connectome/hcp_macro_modules.csv,4.030372220370331,-2.7792908902520943,-19.086988843168555,,0.13300315069221882,0.3237675525627332
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.479134710532137,-0.010843741420000797,-15.97033355473897,0,0.13300315069221882,0.3446370666240429
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.747364650761937,-1.5261371281927159,-21.99767504957623,1,0.13300315069221882,0.3612504423622245
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.1032159047691192,1.8430331716917412,-15.040983558937882,2,0.13300315069221882,0.3814008294003157
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.78722362725014,-5.663394551471453,-22.203868893873416,3,0.13300315069221882,0.25846981954099274
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,4.17825737241584,-10.669471269715142,-27.908293915951887,4,0.13300315069221882,0.2358889656350489
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.482647487614309,-1.6048861049423166,-19.164472516596653,5,0.13300315069221882,0.337649179488078
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.8866576760102265,-4.43080732865977,-23.787172103495905,6,0.13300315069221882,0.31735052185904045
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,4.042117299723257,-8.839973614411338,-27.451959276478515,7,0.13300315069221882,0.2573443492372523
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.976878444912015,-9.577912986291985,-28.542285813142776,8,0.13300315069221882,0.2441884756534795
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.837591619786666,-11.294793063968978,-30.79986655100395,9,0.13300315069221882,0.2285001493030366
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.3443878931016497,-1.2779808559592698,-19.893744721083333,10,0.13300315069221882,0.32964999111743853
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,4.420475094133767,-4.9246448334058925,-24.441761157694522,11,0.13300315069221882,0.3288447852497367
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.9716043515295163,-5.673717407571118,-22.611530752958917,12,0.13300315069221882,0.2756231160490986
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,3.585360979656594,-6.7106922839852015,-27.027654128057534,13,0.13300315069221882,0.26144315553018493
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,4.03794082218957,-5.219415926269282,-23.098800703076165,14,0.13300315069221882,0.29664403914660303
edge_weight_rewire_null,rewired HCP/normative structural edge-weight null; preserves the edge-weight distribution but not the original graph topology,4.511396845944014,-5.078833311844973,-21.366511649819163,15,0.13300315069221882,0.3119128500974433
