module,visual,auditory,salience,default_mode,executive_frontoparietal,limbic_affective,thalamic_gateway,sensorimotor
visual,0.0,0.7608235165290825,0.4893091612215479,0.053177727513291216,0.4328974647705906,0.2593718447353677,0.5293523929340989,0.7608235165290825
auditory,0.7608235165290825,0.0,0.49653295989948293,0.2782761370012207,0.6229144707522369,0.3981751023585347,0.602757367186282,1.0
salience,0.4893091612215479,0.49653295989948293,0.0,0.7085533542898008,0.569266924465528,0.2509796751465441,0.6157723084877362,0.49653295989948293
default_mode,0.053177727513291216,0.2782761370012207,0.7085533542898008,0.0,0.7685434394776961,0.4425551524613146,0.594226847434329,0.2782761370012207
executive_frontoparietal,0.4328974647705906,0.6229144707522369,0.569266924465528,0.7685434394776961,0.0,0.5134287352527267,0.6299159728354399,0.6229144707522369
limbic_affective,0.2593718447353677,0.3981751023585347,0.2509796751465441,0.4425551524613146,0.5134287352527267,0.0,0.5480534740600105,0.3981751023585347
thalamic_gateway,0.5293523929340989,0.602757367186282,0.6157723084877362,0.594226847434329,0.6299159728354399,0.5480534740600105,0.0,0.602757367186282
sensorimotor,0.7608235165290825,1.0,0.49653295989948293,0.2782761370012207,0.6229144707522369,0.3981751023585347,0.602757367186282,0.0
