layer,metric_count,run,support_score
A,6,run-01,0.2271686003527546
A,6,run-03,0.07054756283392125
C,12,run-01,0.326055737941365
C,12,run-03,0.3298955732881808
D,11,run-01,0.17317641046456464
D,11,run-03,0.13201883644999216
E,7,run-01,0.3662348518000468
E,7,run-03,0.027963793889125253
