barrier_reduction_proxy_delta,layer,lsd_receptor_energy_reduction_pct,receptor_vs_random_energy_reduction_pct,score_mode,state_bins,state_method,state_target_alignment_receptor,support_score,transition_entropy_delta,transition_rate_delta
0.05822292474853654,A,,,pca,4,pca_quantile_4,,0.1489060941111875,0.00389023146585347,0.008487654320987659
,E,4.702198506533535,-14.927786503754115,pca,4,pca_quantile_4,0.13300315069221882,0.19539870174539584,,
0.14908362677712594,A,,,pca,3,pca_quantile_3,,0.26566523883205967,0.00564149599823679,0.013425925925925924
,E,4.702198506533535,-18.267958299778417,pca,3,pca_quantile_3,0.06841122473073238,0.10883873743482025,,
0.03267022526144731,A,,,global_mean,4,global_mean_quantile_4,,0.11795647377293808,0.003705094708268952,0.005401234567901226
,E,4.702198506533535,-9.723599707156446,global_mean,4,global_mean_quantile_4,0.08144225678901669,0.20354335185117045,,
0.049736211521797996,A,,,trajectory_norm,4,trajectory_norm_quantile_4,,0.2964611690887292,0.005270447452945833,0.012962962962962971
,E,4.702198506533535,-5.217021533156331,trajectory_norm,4,trajectory_norm_quantile_4,-0.030419685269661916,0.19250788579457162,,
