iteration,layer,rank,score
24,B,5,-0.050215560182381117
24,C,1,0.3037538719127886
24,D,2,0.18849503319508726
24,E,4,0.12696596309697472
25,A,3,0.12926387145857102
25,B,5,-0.0783417843857684
25,C,1,0.299578423122269
25,D,2,0.16593721418104374
25,E,4,0.051903176674770096
26,A,3,0.2441272389373488
26,B,5,-0.18855941852906952
26,C,1,0.4669794262761816
26,D,4,-0.0028955059871974068
26,E,2,0.2978444539182191
27,A,4,0.06937054733451378
27,B,5,-0.11910683431808004
27,C,2,0.3061067268418328
27,D,3,0.11426726927819911
27,E,1,0.3277627944189144
28,A,1,0.4004581929274822
28,B,5,-0.029787248094839555
28,C,2,0.2885753419897669
28,D,4,0.09935274307092742
28,E,3,0.1850358866474819
29,A,2,0.2738114717628503
29,B,5,-0.039233945243218674
29,C,1,0.30239398587777727
29,D,4,0.2067158015108297
29,E,3,0.23834099375958642
30,A,5,-0.10568025642512498
30,B,4,-0.06942189541986754
30,C,1,0.3242617353983847
30,D,3,0.012055178098359189
30,E,2,0.17618761066356625
31,A,4,0.09060815260158138
31,B,5,-0.059371844599765175
31,C,1,0.3078077419817657
31,D,3,0.09752700862924693
31,E,2,0.11355255375537396
32,A,1,0.41806417855843836
32,B,5,-0.04274889054390377
32,C,2,0.25738690940595466
32,D,4,0.046358037163776344
32,E,3,0.050863200234114475
33,A,3,0.2658479384064235
33,B,5,-0.07622187025032436
33,C,1,0.37261580130687333
33,D,4,0.19599502933710522
33,E,2,0.3483078412112861
34,A,4,0.20456055635629533
34,B,5,-0.13085686018623435
34,C,2,0.5319988562308302
34,D,3,0.21263586584279814
34,E,1,0.5425438335581517
35,A,3,0.14061535662081642
35,B,5,-0.14474689508495248
35,C,2,0.3593257657330018
35,D,4,0.08450775169682405
35,E,1,0.42530367577328304
36,A,2,0.11668397069515789
36,B,5,-0.060914288303596846
36,C,1,0.2393276396501274
36,D,3,0.033950031300077566
36,E,4,0.006214144955988876
37,A,4,-0.045390421813174216
37,B,5,-0.1327894178203634
37,C,1,0.28523504424975943
37,D,2,0.18219758449215376
37,E,3,0.07359083466822747
38,A,5,-0.033244725584497085
38,B,4,-0.02868250295249337
38,C,1,0.3371089429660181
38,D,3,0.10470172089723279
38,E,2,0.1201322263397468
39,A,4,0.06656957023119252
39,B,5,-0.04835016376403007
39,C,1,0.31005476577489266
39,D,2,0.2269321430672987
39,E,3,0.10649045166253113
40,A,4,-0.0929784270990943
40,B,5,-0.12151767864576932
40,C,1,0.5206793883084087
40,D,3,0.21166389910256878
40,E,2,0.3141296546003722
41,A,4,0.11749495316169031
41,B,5,-0.09354016284317328
41,C,1,0.2671663980606326
41,D,2,0.20649641112041922
41,E,3,0.12387201403148042
42,A,1,0.5042668037578001
42,B,5,-0.1123722806598065
42,C,2,0.33117842269429515
42,D,4,-0.007043733518196732
42,E,3,0.25267932976427543
43,A,4,-0.0284657540444285
43,B,5,-0.06628426414220016
43,C,1,0.33385424185511875
43,D,2,0.2921427500623234
43,E,3,0.1511462186610985
44,A,4,0.11284586684092951
44,B,5,-0.035887231922358646
44,C,1,0.3148562917704283
44,D,3,0.18929840607728357
44,E,2,0.2566902698400071
45,A,5,0.016065900274778215
45,B,4,0.033857258728753746
45,C,1,0.37936696295961936
45,D,3,0.22588705923064012
45,E,2,0.2600432191185752
46,A,1,0.3387664451104125
46,B,5,-0.08466511424260185
46,C,2,0.2528773695729505
46,D,4,0.043643308476444265
46,E,3,0.18125790999427122
47,A,4,0.08194427088499946
47,B,5,-0.1247076717525962
47,C,1,0.5736807811146121
47,D,3,0.09456412345368623
47,E,2,0.2750818842706477
48,A,4,0.07481869933149912
48,B,5,-0.13965226492732966
48,C,1,0.23215021823261947
48,D,3,0.12141767811633813
48,E,2,0.1310741787694287
49,A,4,-0.06754844329384552
49,B,5,-0.11099027411490621
49,C,1,0.6233909031805152
49,D,3,0.427288286102713
49,E,2,0.4287666554766289
50,A,3,0.06893452224430013
50,B,5,-0.07479892698243194
50,C,1,0.3561058919840985
50,D,4,0.024048313733432615
50,E,2,0.17477698096627195
51,A,4,-0.01917531873967989
51,B,5,-0.04051886190735823
51,C,1,0.4212946259501272
51,D,3,0.15789218765926105
51,E,2,0.2927431504446889
52,A,2,0.19412264263155454
52,B,5,-0.0201023933795795
52,C,1,0.33852366461960454
52,D,4,0.17619319278759327
52,E,3,0.18962970510856264
53,A,4,0.2221936325069987
53,B,5,-0.13508254633279576
53,C,2,0.2882167760061641
53,D,3,0.24870973789733225
53,E,1,0.33298607047286927
54,A,1,0.36002583203859273
54,B,5,-0.09403605486590735
54,C,2,0.23318391864528515
54,D,4,0.011550993685804783
54,E,3,0.10207184768980301
55,A,4,0.049405699269837317
55,B,5,-0.1427846754756901
55,C,1,0.2760153952986861
55,D,2,0.13798154261579992
55,E,3,0.13467185842824553
56,A,2,0.356133245631528
56,B,5,-0.03478975271287023
56,C,1,0.47491897417014384
56,D,4,0.20027006355609595
56,E,3,0.3309773540749524
57,A,4,0.10111849588406838
57,B,5,-0.060165219638223036
57,C,1,0.37036119295016073
57,D,3,0.1352441869891663
57,E,2,0.21482859727131823
58,A,4,-0.025225151920274164
58,B,5,-0.11164014948882763
58,C,1,0.3478186672072549
58,D,2,0.1725572983504269
58,E,3,0.11812676091657119
59,A,4,0.028926514792295008
59,B,5,-0.041404399487466055
59,C,2,0.22414482414209483
59,D,1,0.279627183261807
59,E,3,0.12133335786923374
60,A,2,0.09157087674260617
60,B,5,-0.07197338903095693
60,C,1,0.14230306402294896
60,D,3,0.08896208639152879
60,E,4,-0.016899154622607715
61,A,3,0.0993916128559421
61,B,5,-0.0898642373857376
61,C,1,0.33320588289592606
61,D,2,0.18984459001299325
61,E,4,0.06396947102504669
62,A,2,0.3094305752139307
62,B,5,0.043581011939674424
62,C,1,0.41092872502083755
62,D,3,0.2374759834290176
62,E,4,0.20691353437071847
63,A,1,0.3846924883100989
63,B,5,-0.030565533472548614
63,C,2,0.2850698553338361
63,D,4,0.1491831333847477
63,E,3,0.23448388226143216
64,A,4,0.014319242214936516
64,B,5,-0.12577422652571366
64,C,1,0.38222977381486867
64,D,2,0.23791470165716272
64,E,3,0.12623994367673083
65,A,3,0.19670461622546376
65,B,5,-0.057195882833051014
65,C,1,0.4076976520698553
65,D,2,0.27555993765928205
65,E,4,0.147186150476813
66,A,2,0.25971928693452184
66,B,5,-0.02425804772059248
66,C,1,0.34883668081084157
66,D,4,0.09525602547394033
66,E,3,0.21931319961325
67,A,4,-0.0006602760923049913
67,B,5,-0.04402647476145763
67,C,1,0.4508791126105108
67,D,2,0.23880032593013048
67,E,3,0.17483772170945386
68,A,2,0.37854085184060854
68,B,5,0.004879008300233782
68,C,1,0.49613720195882455
68,D,3,0.24441817338027388
68,E,4,0.217116159416149
69,A,4,0.16998435070773454
69,B,5,-0.06319320214268051
69,C,1,0.4252028751643389
69,D,3,0.2539705776076434
69,E,2,0.31755370823526896
70,A,2,0.21697208858848818
70,B,5,-0.11558101155624807
70,C,1,0.3099034456144474
70,D,4,0.03951339501854313
70,E,3,0.15224150911887038
71,A,1,0.3479636397695981
71,B,5,-0.1001296510322656
71,C,2,0.28661505180493035
71,D,3,0.11527445274090116
71,E,4,0.006797278485998315
72,A,2,0.18853924133694577
72,B,5,-0.05705023515870168
72,C,1,0.3042712019804364
72,D,4,0.037158176344011695
72,E,3,0.18738202395561745
73,A,4,0.15723021115767974
73,B,5,-0.11515284302675645
73,C,1,0.3208948050920285
73,D,3,0.17414556877897
73,E,2,0.20444464592319517
74,A,3,0.2207967989333595
74,B,5,-0.1167632369737233
74,C,1,0.3193475131780018
74,D,4,0.12738009079591897
74,E,2,0.26741802973214734
75,A,1,0.2981329262537852
75,B,5,-0.16902061719774644
75,C,2,0.20164479460306972
75,D,4,0.08936469058453685
75,E,3,0.09641392369130888
76,A,2,0.2810464490269472
76,B,5,-0.0653317313338682
76,C,1,0.3369317471946941
76,D,4,0.18909500391111578
76,E,3,0.22363089882375445
77,A,4,-0.07012189220513901
77,B,5,-0.11871480488357812
77,C,1,0.3333944269058631
77,D,2,0.33144290087443323
77,E,3,0.25421218482799507
78,A,4,0.0517843839704284
78,B,5,-0.10204375596009713
78,C,1,0.46824065711670626
78,D,3,0.18290872813944906
78,E,2,0.2975876980085315
79,A,5,-0.12830213696694545
79,B,4,-0.0003697634980079948
79,C,1,0.3243600809863525
79,D,2,0.26887115783780285
79,E,3,0.0957230156542738
80,A,4,0.12444288623912395
80,B,5,-0.12338857090684949
80,C,1,0.4015374375326081
80,D,3,0.13443210419876722
80,E,2,0.3372082186485421
81,A,2,0.2742483052071589
81,B,5,-0.03635707709822851
81,C,1,0.28205722953600243
81,D,4,0.042015868420926174
81,E,3,0.15801471571051134
82,A,4,0.025919669195068967
82,B,5,-0.06089483755039011
82,C,2,0.37818664009205744
82,D,1,0.4120093310165233
82,E,3,0.07797148455678396
83,A,4,0.13740181091422166
83,B,5,-0.08621485596946048
83,C,1,0.3790848227481976
83,D,3,0.16146670780253547
83,E,2,0.22943287974078613
84,A,3,0.2128382187298855
84,B,5,-0.08503489301361179
84,C,1,0.4132786580778963
84,D,4,0.12578954119066663
84,E,2,0.31045059088848304
85,A,3,0.25129168367407045
85,B,5,-0.09145919305236482
85,C,1,0.38474312137242633
85,D,4,0.04973629982639022
85,E,2,0.26367605395012833
86,A,2,0.12124667359903489
86,B,5,-0.09072259913270818
86,C,1,0.2665532301652628
86,D,4,-0.04890675483520659
86,E,3,0.07289970994213565
87,A,3,0.180431477213977
87,B,5,-0.11965870163506472
87,C,1,0.2790312352552125
87,D,4,0.1598937083622616
87,E,2,0.18971689667109956
88,A,3,0.14191472408043734
88,B,5,-0.02152448268489866
88,C,1,0.3048122084666869
88,D,4,0.08141190158720246
88,E,2,0.24449099866222748
89,A,4,0.10474330771548046
89,B,5,-0.09003261447152573
89,C,1,0.3676880717867509
89,D,3,0.1533050845506931
89,E,2,0.21801383052503753
90,A,3,0.1645365220038782
90,B,5,-0.05518144144038217
90,C,1,0.4381149746920945
90,D,4,-0.009080929835340368
90,E,2,0.2833896647434137
91,A,2,0.3074448023433839
91,B,5,-0.03179026386673557
91,C,1,0.37846185961768936
91,D,4,0.15672379016826957
91,E,3,0.16538292772771854
92,A,1,0.3203591363098288
92,B,5,-0.09060694795317158
92,C,2,0.2660877727987075
92,D,3,0.1532872758504094
92,E,4,0.07770562569346567
93,A,2,0.026231990354957685
93,B,5,-0.0783516175428451
93,C,1,0.2617971190907115
93,D,3,0.023790514211818412
93,E,4,0.013387690734775193
94,A,2,0.19334154968556785
94,B,5,-0.05465248690241776
94,C,1,0.3185956751724023
94,D,4,0.10700550197101824
94,E,3,0.1453586417131816
95,A,5,-0.11762137497275874
95,B,4,-0.020140522432948404
95,C,1,0.3695001205849094
95,D,3,0.17104951114475708
95,E,2,0.21626720998108778
96,A,3,0.21499941234840503
96,B,5,-0.11225417722471186
96,C,1,0.42395213589112246
96,D,4,0.10687889879715404
96,E,2,0.3945253735511178
97,A,4,-0.0017798468411439332
97,B,5,-0.13832236940768702
97,C,1,0.2963371322909145
97,D,2,0.23368671274127883
97,E,3,0.20015243821008033
98,A,2,0.34844292478117045
98,B,5,-0.028618692214748106
98,C,1,0.39005980813005137
98,D,4,0.10350417299190266
98,E,3,0.19373807993995343
99,A,4,0.06585093423070536
99,B,5,-0.06020533729486703
99,C,1,0.32538970117853405
99,D,2,0.22867645930317151
99,E,3,0.08957996738527113
100,A,4,0.08845671695261853
100,B,5,-0.04636235798476659
100,C,1,0.36512436463339637
100,D,3,0.08854366196538407
100,E,2,0.32567096841699056
101,A,2,0.3170467404990406
101,B,5,-0.08573077257149607
101,C,1,0.37401092174885175
101,D,4,0.04829042714290249
101,E,3,0.28200672190803666
102,A,1,0.4203891166121281
102,B,5,-0.03911570200340259
102,C,2,0.3688615907012086
102,D,4,0.1952593365380459
102,E,3,0.24201357550173797
103,A,4,0.01501582529555981
103,B,5,-0.07097061124207661
103,C,1,0.32309449924182454
103,D,3,0.17319582188674076
103,E,2,0.26293707171534475
104,A,4,0.02494137878883376
104,B,5,-0.19233431855365551
104,C,1,0.34753867913986347
104,D,2,0.2081137627571074
104,E,3,0.19098307557067956
105,A,4,0.05986825997999738
105,B,5,-0.26957137229365774
105,C,1,0.30441105985994565
105,D,3,0.07926228136326471
105,E,2,0.24368101328306158
106,A,4,0.05634700196889432
106,B,5,-0.01558078080707376
106,C,1,0.3385925673481063
106,D,3,0.06407946074604512
106,E,2,0.13197842758709738
107,A,2,0.17370124373424406
107,B,5,-0.06471902811567772
107,C,1,0.27817314074629007
107,D,3,0.1535246719946447
107,E,4,0.02736713179137741
108,A,3,0.1772209709922319
108,B,5,-0.05716337314474532
108,C,1,0.5112186015752753
108,D,4,0.1440728521095512
108,E,2,0.45546741460153894
109,A,2,0.381964447150831
109,B,5,-0.0333659316149785
109,C,1,0.39381098912992357
109,D,3,0.206491110578157
109,E,4,0.20495707134375934
110,A,4,-0.008735241542574983
110,B,5,-0.06713485804207055
110,C,1,0.3304947353221227
110,D,2,0.1874937862860464
110,E,3,0.17062641320016275
111,A,2,0.27936216212062687
111,B,5,-0.012948613702516496
111,C,1,0.4479255719602371
111,D,3,0.20001233841407773
111,E,4,0.12780855569177713
112,A,4,0.1874714340955752
112,B,5,-0.04531003390797845
112,C,1,0.4462620748078022
112,D,3,0.22219688307619226
112,E,2,0.44294068603414044
113,A,2,0.21357724769089284
113,B,5,-0.057867116021017274
113,C,1,0.2371607590490177
113,D,3,0.08726285725343805
113,E,4,0.018345826075327615
114,A,3,0.26610138649563836
114,B,5,-0.022105325864936593
114,C,1,0.4031044167249957
114,D,4,0.18440930614851564
114,E,2,0.27760185353647493
115,A,4,0.029280198232868863
115,B,5,-0.11921321497188009
115,C,1,0.2805230878053154
115,D,3,0.035694387855362955
115,E,2,0.04624076278151412
116,A,4,0.1795818008099483
116,B,5,-0.12134412146426282
116,C,1,0.31997109025410564
116,D,2,0.28137670988671326
116,E,3,0.21151897633972777
117,A,4,0.13206839583032612
117,B,5,-0.08335564513996421
117,C,1,0.301748474975752
117,D,2,0.19770704282363588
117,E,3,0.18079363381156305
118,A,4,0.011496231038510406
118,B,5,-0.09011219257278641
118,C,1,0.5197078264876944
118,D,3,0.13050654529885536
118,E,2,0.2427091283305542
119,A,5,-0.1847183902021212
119,B,4,-0.07423971114784425
119,C,2,0.31276597228418146
119,D,1,0.34842872759811866
119,E,3,-0.0014103151280668719
120,A,4,0.19573302944789026
120,B,5,-0.054399013216243804
120,C,1,0.4326639555939583
120,D,3,0.23908971708542368
120,E,2,0.2530802848493323
121,A,4,-0.03678802003596879
121,B,5,-0.04855913812216399
121,C,1,0.4280203788339863
121,D,3,0.17302842102115767
121,E,2,0.28367038157497815
122,A,1,0.3534512484449772
122,B,5,0.05021277377144241
122,C,2,0.3509026893751949
122,D,4,0.11885543676652613
122,E,3,0.21562113936163707
123,A,3,0.13763052608489612
123,B,5,-0.009667970448644788
123,C,1,0.4369920824722397
123,D,4,0.036464559216997997
123,E,2,0.34937331475494426
124,A,1,0.4948150475608001
124,B,5,-0.17562439524868673
124,C,3,0.25654093904163544
124,D,4,-0.06002977301713628
124,E,2,0.27616736628583954
125,A,3,0.27120413506491814
125,B,5,-0.1489362069740468
125,C,1,0.4359658874071338
125,D,4,0.06976992244248875
125,E,2,0.3685430137912052
126,A,5,-0.19788911832653377
126,B,4,-0.11546113858158688
126,C,1,0.29944407795437233
126,D,3,-0.006991526767670297
126,E,2,0.015333053086807283
127,A,4,0.06290506165917206
127,B,5,-0.07000564537322154
127,C,1,0.3484625053957404
127,D,2,0.10048079424418893
127,E,3,0.07680670760276953
128,A,3,0.17865250672133037
128,B,5,-0.1402494735955954
128,C,1,0.34669008091512876
128,D,2,0.20501148948998082
128,E,4,0.06675251987351655
129,A,4,0.1316710577019299
129,B,5,-0.032712327038076146
129,C,1,0.3816645001164899
129,D,2,0.2535852132587164
129,E,3,0.20245387932462544
130,A,4,0.15416775091269871
130,B,5,-0.05687171110670864
130,C,1,0.43914537376043183
130,D,3,0.24106824784866604
130,E,2,0.28825053932018346
131,A,3,0.14545800783873053
131,B,5,-0.06291995054184321
131,C,1,0.41060800041876827
131,D,4,0.05578509112753461
131,E,2,0.21736151193046477
132,A,2,0.3771053222588686
132,B,5,-0.07334204622460402
132,C,1,0.4276583198618934
132,D,3,0.3037851338186292
132,E,4,0.19796998591972892
133,A,4,0.24954349290406377
133,B,5,-0.13500074568497325
133,C,1,0.45536111102650034
133,D,3,0.32670209068847544
133,E,2,0.38988091459940744
134,A,3,0.12543444222205957
134,B,5,-0.10052965088939887
134,C,1,0.26480974677305974
134,D,4,0.11882503610264855
134,E,2,0.18654696827945783
135,A,1,0.5810164367193213
135,B,5,-0.07478637241662486
135,C,2,0.31292368980506396
135,D,4,0.11147039887119276
135,E,3,0.19756046930139667
136,A,2,0.14226572139112525
136,B,5,-0.07207635866552801
136,C,1,0.24002406597045262
136,D,3,0.08694147664895321
136,E,4,-0.015167525861504758
137,A,3,0.19009328685917978
137,B,5,-0.09566738401594499
137,C,1,0.3714608779311366
137,D,4,0.08595807559491192
137,E,2,0.23391360417410711
138,A,2,0.3222281586456929
138,B,5,-0.02316115989887813
138,C,1,0.4450364000999705
138,D,4,0.10799393623990713
138,E,3,0.2653970584877542
139,A,2,0.15341264843564506
139,B,5,-0.1547592961631543
139,C,1,0.24225555053096437
139,D,4,0.10005797391416223
139,E,3,0.1298839561817739
140,A,1,0.5115073188596706
140,B,5,-0.009193003560035851
140,C,2,0.3671017217911149
140,D,3,0.1604605943473346
140,E,4,0.12291081558601705
141,A,1,0.23976588424757767
141,B,5,-0.10787475454545141
141,C,2,0.2306078233325237
141,D,4,0.02814139463793896
141,E,3,0.14990879784285202
142,A,2,0.22293345510219184
142,B,5,-0.09777765428661468
142,C,1,0.3325655165920983
142,D,4,0.07409278126090324
142,E,3,0.11515176661219523
143,A,2,0.32125521380651584
143,B,5,-0.06006369146679512
143,C,1,0.391491991974105
143,D,4,0.20900810877557024
143,E,3,0.21177994355521326
144,A,4,0.033887220110151675
144,B,5,-0.08642106220575567
144,C,1,0.25565339485345395
144,D,2,0.08830583986124937
144,E,3,0.07574291946313175
145,A,4,-0.011739643356244556
145,B,5,-0.05091198120284034
145,C,1,0.2843680355053045
145,D,2,0.18327678623233598
145,E,3,0.14290829295544227
146,A,1,0.4453348058038298
146,B,5,-0.009988739518163703
146,C,2,0.39761526107051337
146,D,4,0.0807034827310538
146,E,3,0.2954082257429681
147,A,4,0.0968544000591617
147,B,5,-0.08599111283224062
147,C,1,0.3962304140597914
147,D,3,0.12319252180331755
147,E,2,0.24064411797560153
148,A,2,0.2178793161057966
148,B,5,-0.05671356196415291
148,C,1,0.3107382771257779
148,D,3,0.10116846136747162
148,E,4,0.08241829922697454
149,A,3,0.17900335919951194
149,B,5,-0.033762310688924456
149,C,1,0.3894731864839962
149,D,4,0.11392154929542492
149,E,2,0.2782327499369105
150,A,3,0.18094964972812677
150,B,5,-0.03947558813537463
150,C,1,0.3344604619497257
150,D,4,0.08491507879357792
150,E,2,0.265446884549528
151,A,3,0.2089600550424484
151,B,5,-0.0844748434396614
151,C,1,0.3743183344069079
151,D,2,0.28829609258387623
151,E,4,0.0890413561053543
152,A,2,0.2476969837726197
152,B,5,-0.08452827221876678
152,C,1,0.30035634365010555
152,D,4,0.05690877618689004
152,E,3,0.09459114473222063
153,A,4,0.12238708463545507
153,B,5,-0.039351024139411384
153,C,1,0.3316848661201247
153,D,3,0.14620259919535916
153,E,2,0.2040746488508623
154,A,4,-0.10146744164308784
154,B,3,-0.05517728681043625
154,C,2,0.11694460366123997
154,D,1,0.130077578135413
154,E,5,-0.21900321857476174
155,A,4,0.20610851739728026
155,B,5,-0.09424072121895653
155,C,1,0.3752145936130475
155,D,2,0.24823425603275828
155,E,3,0.21124574644929542
156,A,4,-0.06631416302403093
156,B,5,-0.14795931858118222
156,C,1,0.2535329633658744
156,D,3,0.057686992944041095
156,E,2,0.16859101773922164
157,A,2,0.14437200079860946
157,B,5,-0.06247285176093878
157,C,1,0.2810271389499031
157,D,4,0.0772289063300861
157,E,3,0.12989198011857456
158,A,4,0.06907323068605106
158,B,5,-0.02993156906995505
158,C,1,0.40358298717790686
158,D,3,0.23987119824075892
158,E,2,0.32481511980212474
159,A,2,0.25534938728201356
159,B,5,-0.11565938133853075
159,C,1,0.450747701984087
159,D,4,0.13145423636607612
159,E,3,0.1610378786938766
160,A,2,0.2561032685993976
160,B,5,-0.05658301228654198
160,C,1,0.4646863940237633
160,D,3,0.2467304847340513
160,E,4,0.23129442048578058
161,A,5,-0.18672566175877225
161,B,4,-0.1052591836745998
161,C,1,0.2468295066443809
161,D,2,0.20514559765384938
161,E,3,0.018552263422948648
162,A,4,-0.05197490178382112
162,B,5,-0.08556926756854573
162,C,1,0.4511051191478981
162,D,3,0.21737873925153356
162,E,2,0.2814694577906588
163,A,4,0.0056657540088336095
163,B,5,-0.11562745497266441
163,C,1,0.40914686677092177
163,D,3,0.11267939355499657
163,E,2,0.26267470417659716
164,A,3,0.13722810054410248
164,B,5,-0.08084621353722792
164,C,1,0.35241918956645046
164,D,4,0.09195543369183093
164,E,2,0.24104189465031012
165,A,1,0.446233726272854
165,B,5,0.03831507908468549
165,C,2,0.42550900036466327
165,D,4,0.09843891065548249
165,E,3,0.3323693382121975
166,A,4,0.1414696650346493
166,B,5,-0.1228726008967078
166,C,1,0.3682824319702359
166,D,3,0.260109996890577
166,E,2,0.3044665660409025
167,A,2,0.26435445620793224
167,B,5,-0.07400555035056064
167,C,1,0.4337498347910264
167,D,4,0.18820461508625774
167,E,3,0.257806305062847
168,A,3,0.03829593501653991
168,B,5,-0.10210214089763033
168,C,1,0.21993501064850365
168,D,2,0.05232383245676117
168,E,4,-0.04437467494560632
169,A,4,0.027967549413267286
169,B,5,-0.07921294112726374
169,C,1,0.3309568527813738
169,D,2,0.17294204594972373
169,E,3,0.1321237078696664
170,A,4,-0.0013827064849735735
170,B,5,-0.0744151151467189
170,C,1,0.34978407088825497
170,D,2,0.21772990929532848
170,E,3,0.13551879572098624
171,A,2,0.19317824743059459
171,B,5,-0.02194727574482097
171,C,1,0.2547953261865676
171,D,3,0.1426209685165099
171,E,4,0.11601832622114716
172,A,2,0.24746507953486785
172,B,5,-0.014548805687116632
172,C,1,0.34096481225699077
172,D,3,0.2208095002207872
172,E,4,0.20990981718435356
173,A,3,0.23565122407115063
173,B,5,-0.0698437369834792
173,C,1,0.37853777880214895
173,D,4,0.16251521319034667
173,E,2,0.2969804779103888
174,A,3,0.16769165377625767
174,B,5,-0.05896947935313123
174,C,1,0.3335146188397073
174,D,2,0.19697977643528186
174,E,4,0.0987926162950132
175,A,2,0.1810424363799608
175,B,5,-0.12763800101508418
175,C,1,0.28739436503457694
175,D,4,-0.01589092273518536
175,E,3,0.1373233848155314
176,A,4,0.012023352195051233
176,B,5,-0.048903759424624674
176,C,1,0.27055547273532715
176,D,2,0.11076689901019746
176,E,3,0.051807688689138265
177,A,3,0.1024524066088205
177,B,5,-0.08195023398746473
177,C,1,0.35637250664448367
177,D,4,0.09837347683242764
177,E,2,0.21783638953090867
178,A,5,-0.10255917872383433
178,B,4,-0.09408495374023272
178,C,1,0.3370537995488403
178,D,3,0.058219735555604286
178,E,2,0.13401991877189331
179,A,2,0.5564142805694332
179,B,5,-0.020627944395127235
179,C,1,0.5669012655867904
179,D,4,0.2625192410098837
179,E,3,0.38703186927666317
180,A,4,0.08757751166346256
180,B,5,-0.054805217518059356
180,C,1,0.3646341741017942
180,D,2,0.2943067393466935
180,E,3,0.20968809710427036
181,A,1,0.31005604638486467
181,B,5,-0.08465823756748873
181,C,2,0.29714090547091215
181,D,4,0.04628211566854933
181,E,3,0.19116456559816375
182,A,3,0.13706000553760578
182,B,5,-0.12009326177764214
182,C,1,0.22799023702065288
182,D,4,0.1338072647118624
182,E,2,0.1556807460973777
183,A,4,0.13553496167359683
183,B,5,-0.12601555033311054
183,C,1,0.33217332234010466
