horizon,layer,lsd_receptor_energy_reduction_pct,lsd_uniform_energy_reduction_pct,receptor_vs_random_energy_reduction_pct,state_target_alignment_receptor,support_score
4,E,4.767420115268034,7.2957975858891055,-12.752886257598256,0.13300315069221882,0.2059398992399152
8,E,4.702198506533535,6.935892752544529,-12.69573343315892,0.13300315069221882,0.18954546653652815
12,E,4.4776322019377215,6.506677096773492,-14.143499288545454,0.13300315069221882,0.1609310950782599
16,E,4.315551487937951,6.222234516133075,-13.61983727575103,0.13300315069221882,0.17928887307658045
