module,coefficient,absolute_coefficient,direction
visual,0.0030244309910255314,0.0030244309910255314,positive
auditory,0.02069633741003179,0.02069633741003179,positive
salience,-0.005647643770196423,0.005647643770196423,negative
default_mode,-0.008680532375126672,0.008680532375126672,negative
executive_frontoparietal,0.005789976740547954,0.005789976740547954,positive
limbic_affective,0.01031273856677942,0.01031273856677942,positive
thalamic_gateway,0.0006155496977548163,0.0006155496977548163,positive
sensorimotor,-0.017637214882322658,0.017637214882322658,negative
