module,coefficient,absolute_coefficient,direction
visual,0.0007540617321389434,0.0007540617321389434,positive
auditory,1.610988011691322e-05,1.610988011691322e-05,positive
salience,0.0004630352055672103,0.0004630352055672103,positive
default_mode,0.0007253488731372581,0.0007253488731372581,positive
executive_frontoparietal,0.0010257827163599657,0.0010257827163599657,positive
limbic_affective,-0.003741915334334745,0.003741915334334745,negative
thalamic_gateway,-0.0015020398140579135,0.0015020398140579135,negative
sensorimotor,-0.0006570962320699181,0.0006570962320699181,negative
