subject,run,placebo_state_occupancy_entropy,lsd_state_occupancy_entropy,delta_state_occupancy_entropy,placebo_transition_entropy,lsd_transition_entropy,delta_transition_entropy,placebo_transition_rate,lsd_transition_rate,delta_transition_rate,placebo_mean_dwell_time,lsd_mean_dwell_time,delta_mean_dwell_time,placebo_barrier_reduction_proxy,lsd_barrier_reduction_proxy,delta_barrier_reduction_proxy,placebo_transition_step_distance_proxy,lsd_transition_step_distance_proxy,delta_transition_step_distance_proxy
sub-001,run-01,0.9991693747848225,0.999244647578,7.527279317753877e-05,0.8318592206108948,0.845518009940902,0.013658789330007193,0.39814814814814814,0.3888888888888889,-0.009259259259259245,2.4942528735632186,2.552941176470588,0.05868830290736948,-2.4942528735632186,-2.552941176470588,-0.05868830290736948,1.3642115443941643,1.4448560869898754,0.08064454259571119
sub-001,run-03,0.9988692408000951,0.9989983555390414,0.00012911473894627878,0.8456553377943105,0.8335485571913894,-0.01210678060292103,0.4444444444444444,0.3611111111111111,-0.08333333333333331,2.2371134020618557,2.7468354430379747,0.509722040976119,-2.2371134020618557,-2.7468354430379747,-0.509722040976119,1.461164793949983,1.5327761724396052,0.07161137848962218
sub-002,run-01,0.9888400172590296,0.9876115818738501,-0.0012284353851794716,0.8374936186317132,0.845456429973079,0.007962811341365783,0.38425925925925924,0.4027777777777778,0.018518518518518545,2.5833333333333335,2.465909090909091,-0.11742424242424265,-2.5833333333333335,-2.465909090909091,0.11742424242424265,1.4765282494476553,1.5113371516513463,0.03480890220369104
sub-002,run-03,0.9991089317794294,0.9989476402739177,-0.0001612915055116959,0.8219757833162429,0.8419068788634645,0.01993109554722161,0.3611111111111111,0.4166666666666667,0.05555555555555558,2.7468354430379747,2.3846153846153846,-0.3622200584225901,-2.7468354430379747,-2.3846153846153846,0.3622200584225901,1.505235353926839,1.4806651528339474,-0.024570201092891653
sub-003,run-01,0.9991693747848225,0.999244647578,7.527279317753877e-05,0.8642182809094899,0.8452208956291891,-0.018997385280300816,0.4583333333333333,0.4166666666666667,-0.04166666666666663,2.17,2.3846153846153846,0.21461538461538465,-2.17,-2.3846153846153846,-0.21461538461538465,1.4329062692362813,1.3669323122788999,-0.0659739569573814
sub-003,run-03,0.9996737173560722,0.9994821396604304,-0.00019157769564182026,0.8324624789510903,0.8398476761233823,0.007385197172292024,0.39814814814814814,0.4583333333333333,0.060185185185185175,2.4942528735632186,2.17,-0.32425287356321864,-2.4942528735632186,-2.17,0.32425287356321864,1.3793833780233464,1.4214046529436501,0.04202127492030372
sub-004,run-01,0.99556466120157,0.9948014903611943,-0.0007631708403756932,0.8386025823388406,0.8629414809285232,0.024338898589682634,0.39351851851851855,0.5138888888888888,0.1203703703703703,2.5232558139534884,1.9375,-0.5857558139534884,-2.5232558139534884,-1.9375,0.5857558139534884,1.4804198835156985,1.5770330353545008,0.09661315183880226
sub-004,run-03,0.9968548768814836,0.9962197549823079,-0.0006351218991756946,0.835432254558757,0.8596629264651761,0.024230671906419032,0.4074074074074074,0.46296296296296297,0.05555555555555558,2.438202247191011,2.1485148514851486,-0.28968739570586255,-2.438202247191011,-2.1485148514851486,0.28968739570586255,1.4942303773107481,1.6080213099386287,0.11379093262788054
sub-006,run-01,0.9974289060746951,0.9971712435253588,-0.000257662549336346,0.877255785858849,0.8492285630413782,-0.02802722281747083,0.46296296296296297,0.42592592592592593,-0.037037037037037035,2.1485148514851486,2.3333333333333335,0.18481848184818483,-2.1485148514851486,-2.3333333333333335,-0.18481848184818483,1.5337290964702948,1.5097197733274814,-0.024009323142813344
sub-006,run-03,0.9997307997723637,0.9998550863588067,0.00012428658644303425,0.8525125887778761,0.8625838871699638,0.010071298392087757,0.49537037037037035,0.4212962962962963,-0.07407407407407407,2.009259259259259,2.358695652173913,0.349436392914654,-2.009259259259259,-2.358695652173913,-0.349436392914654,1.5787576296799,1.5034908617424476,-0.07526676793745235
sub-009,run-01,0.970184345730277,0.9717739900710491,0.001589644340772134,0.7996431081239576,0.7811418211773898,-0.01850128694656772,0.3425925925925926,0.3333333333333333,-0.0092592592592593,2.8933333333333335,2.9726027397260273,0.07926940639269375,-2.8933333333333335,-2.9726027397260273,-0.07926940639269375,1.5147066620323106,1.5230669261632102,0.00836026413089952
sub-009,run-03,0.9993713022374174,0.9991089317794294,-0.00026237045798804814,0.8184192683664389,0.8342554270502679,0.015836158683829038,0.4074074074074074,0.4398148148148148,0.03240740740740744,2.438202247191011,2.2604166666666665,-0.17778558052434468,-2.438202247191011,-2.2604166666666665,0.17778558052434468,1.4897689533829421,1.4855856454211502,-0.004183307961791893
sub-010,run-01,0.9997935239116841,0.9997935239116839,-2.220446049250313e-16,0.8721897497556045,0.8768521756790496,0.004662425923445124,0.4722222222222222,0.48148148148148145,0.009259259259259245,2.1067961165048543,2.066666666666667,-0.04012944983818745,-2.1067961165048543,-2.066666666666667,0.04012944983818745,1.5139492492734508,1.5938465573611535,0.07989730808770279
