layer,current_score,score_mean,score_ci_low,score_ci_high,rank_1_fraction,median_rank,score_std
A,0.1489060941111875,0.16374822825819282,-0.13152588454462086,0.49367581112711,0.1171875,3.0,0.15918402837145842
B,-0.07406369817533776,-0.07443033378435902,-0.1659816812218171,0.012140522869701333,0.0,5.0,0.046831326262729095
C,0.3326057058836129,0.34947728175334536,0.22218804445372778,0.5203150526256408,0.84765625,1.0,0.07872929670226239
D,0.1506187252761158,0.14838410090054516,-0.019301780038447847,0.32966509705469904,0.01953125,3.0,0.09045343941388309
E,0.17507846806066468,0.18835667152029217,-0.01859935187705282,0.38598037737267454,0.015625,3.0,0.11100621118728866
