profile,module,normalized_weight
uniform,visual,1.0
uniform,auditory,1.0
uniform,salience,1.0
uniform,default_mode,1.0
uniform,executive_frontoparietal,1.0
uniform,limbic_affective,1.0
uniform,thalamic_gateway,1.0
uniform,sensorimotor,1.0
receptor,visual,1.0000000000000002
receptor,auditory,0.6923076923076924
receptor,salience,1.076923076923077
receptor,default_mode,1.5384615384615388
receptor,executive_frontoparietal,1.307692307692308
receptor,limbic_affective,1.076923076923077
receptor,thalamic_gateway,0.7692307692307694
receptor,sensorimotor,0.5384615384615385
hierarchy,visual,0.21621621621621623
hierarchy,auditory,0.3243243243243243
hierarchy,salience,1.1891891891891893
hierarchy,default_mode,2.054054054054054
hierarchy,executive_frontoparietal,1.7297297297297298
hierarchy,limbic_affective,1.5135135135135134
hierarchy,thalamic_gateway,0.7567567567567567
hierarchy,sensorimotor,0.21621621621621623
sensory,visual,2.2857142857142856
sensory,auditory,2.2857142857142856
sensory,salience,0.2285714285714286
sensory,default_mode,0.2285714285714286
sensory,executive_frontoparietal,0.2285714285714286
sensory,limbic_affective,0.2285714285714286
sensory,thalamic_gateway,0.2285714285714286
sensory,sensorimotor,2.2857142857142856
transmodal,visual,0.18181818181818182
transmodal,auditory,0.18181818181818182
transmodal,salience,1.8181818181818181
transmodal,default_mode,1.8181818181818181
transmodal,executive_frontoparietal,1.8181818181818181
transmodal,limbic_affective,1.8181818181818181
transmodal,thalamic_gateway,0.18181818181818182
transmodal,sensorimotor,0.18181818181818182
thalamic,visual,0.47058823529411764
thalamic,auditory,0.47058823529411764
thalamic,salience,0.47058823529411764
thalamic,default_mode,0.47058823529411764
thalamic,executive_frontoparietal,0.47058823529411764
thalamic,limbic_affective,0.47058823529411764
thalamic,thalamic_gateway,4.705882352941176
thalamic,sensorimotor,0.47058823529411764
degree,visual,0.9743589743589743
degree,auditory,0.888888888888889
degree,salience,1.2478632478632479
degree,default_mode,0.7521367521367522
degree,executive_frontoparietal,0.9401709401709403
degree,limbic_affective,0.9059829059829061
degree,thalamic_gateway,1.3504273504273505
degree,sensorimotor,0.9401709401709403
