layer,state_method,state_bins,score_mode,support_score,barrier_reduction_proxy_delta,lsd_receptor_energy_reduction_pct,receptor_vs_random_energy_reduction_pct,state_target_alignment_receptor,transition_entropy_delta,transition_rate_delta
A,pca_quantile_4,4,pca,0.1489060941111875,0.05822292474853654,,,,0.00389023146585347,0.008487654320987659
E,pca_quantile_4,4,pca,0.1926584097400299,,4.702198506533535,-14.80672660708641,0.13300315069221882,,
A,pca_quantile_3,3,pca,0.26566523883205967,0.14908362677712594,,,,0.00564149599823679,0.013425925925925924
E,pca_quantile_3,3,pca,0.1210698371684292,,4.702198506533535,-17.011446889661745,0.06841122473073238,,
A,global_mean_quantile_4,4,global_mean,0.11795647377293808,0.03267022526144731,,,,0.003705094708268952,0.005401234567901226
E,global_mean_quantile_4,4,global_mean,0.20024103355583434,,4.702198506533535,-8.85478251311323,0.08144225678901669,,
A,trajectory_norm_quantile_4,4,trajectory_norm,0.2964611690887292,0.049736211521797996,,,,0.005270447452945833,0.012962962962962971
E,trajectory_norm_quantile_4,4,trajectory_norm,0.19909601015409809,,4.702198506533535,-4.367923229619746,-0.030419685269661916,,
