layer,window_size,support_score,dynamic_fc_variance_delta,global_efficiency_delta,dynamic_fc_path_length_delta,integration_segregation_balance_delta
D,20,0.1590013335247462,-0.007308127491829127,0.05252972608906539,-0.04677728052256925,0.046701227164233215
D,40,0.11121218694932798,-0.00596831308112813,0.05252972608906539,-0.0957025607519862,0.046701227164233215
D,60,0.17671962658751988,-0.0011765165836967874,0.05252972608906539,-0.06251067150759448,0.046701227164233215
D,80,0.21657715226427385,-1.2018597539098277e-05,0.05252972608906539,-0.03303630679318067,0.046701227164233215
