layer,run,support_score,metric_count
A,run-01,0.2271686003527546,6
A,run-03,0.07054756283392125,6
C,run-01,0.326055737941365,12
C,run-03,0.3298955732881808,12
D,run-01,0.17317641046456464,11
D,run-03,0.13201883644999216,11
E,run-01,0.36153164128937115,7
E,run-03,0.016098841176917837,7
