metric,mean_delta,std_delta,effect_size,signed_effect_size,expected_sign,sign_consistency,sign_flip_p_value,expected_direction,support_direction
lsd_vs_placebo_receptor_transition_energy_reduction_pct,4.702198506533535,12.513633219453514,0.37576604844255507,0.37576604844255507,1,0.6333333333333333,0.10024421103298664,positive means LSD within-condition transitions need less receptor-profile control energy than placebo,supports_expected_direction
lsd_vs_placebo_uniform_transition_energy_reduction_pct,6.935892752544529,9.577090626236936,0.7242170950688606,0.7242170950688606,1,0.7666666666666667,0.002611439675092697,positive means LSD within-condition transitions need less uniform-control energy than placebo,supports_expected_direction
receptor_vs_uniform_energy_reduction_pct,-34.3869884708404,23.58685878918576,-1.457887579613032,-1.457887579613032,1,0.0,1.0,positive means receptor-prior control needs less energy than uniform control,opposes_expected_direction
receptor_vs_random_energy_reduction_pct,-15.082617367429707,17.470679638510013,-0.863310282113102,-0.863310282113102,1,0.3,0.991937599144876,positive means receptor-prior control needs less energy than random receptor-prior permutations,opposes_expected_direction
hierarchy_vs_uniform_energy_reduction_pct,-300.46956304822345,130.8107423714992,-2.2969792663885165,-2.2969792663885165,1,0.0,1.0,positive means hierarchy-prior control needs less energy than uniform control,opposes_expected_direction
transmodal_vs_uniform_energy_reduction_pct,-674.315980973865,331.412656625716,-2.0346717830255048,-2.0346717830255048,1,0.0,1.0,positive means transmodal-prior control needs less energy than uniform control,opposes_expected_direction
state_target_alignment_receptor,0.13300315069221882,0.2868666653323103,0.46364101084434517,0.46364101084434517,1,0.7,0.02138697262853384,positive means modules with higher receptor prior align with larger LSD-minus-placebo state displacement,supports_expected_direction
