metric,mean_delta,std_delta,effect_size,signed_effect_size,expected_sign,sign_consistency,sign_flip_p_value,expected_direction,ci_high,ci_low,n_bootstrap,n_pairs,sign_flip_q_value,significant_after_fdr_0.05,significant_after_fdr_0_05
lsd_vs_placebo_receptor_transition_energy_reduction_pct,4.702198506533535,12.513633219453514,0.37576604844255507,0.37576604844255507,1,0.6333333333333333,0.10024421103298664,positive means LSD within-condition transitions need less receptor-profile control energy than placebo,9.203314077183,0.931332275222,1024,30,0.23390315907696885,False,False
lsd_vs_placebo_uniform_transition_energy_reduction_pct,6.935892752544529,9.577090626236936,0.7242170950688606,0.7242170950688606,1,0.7666666666666667,0.002611439675092697,positive means LSD within-condition transitions need less uniform-control energy than placebo,10.253570628134,3.568072317123,1024,30,0.01828007772564888,True,True
receptor_vs_uniform_energy_reduction_pct,-34.3869884708404,23.58685878918576,-1.457887579613032,-1.457887579613032,1,0.0,1.0,positive means receptor-prior control needs less energy than uniform control,-25.916595047017,-43.043158347879,1024,30,1.0,False,False
receptor_vs_random_energy_reduction_pct,-15.4342613806409,18.54799911453434,-0.8321254106889895,-0.8321254106889895,1,0.26666666666666666,0.9973885603249073,positive means receptor-prior control needs less energy than random receptor-prior permutations,-8.856376131799,-21.897254519021,1024,30,1.0,False,False
hierarchy_vs_uniform_energy_reduction_pct,-300.46956304822345,130.8107423714992,-2.2969792663885165,-2.2969792663885165,1,0.0,1.0,positive means hierarchy-prior control needs less energy than uniform control,-257.061746675894,-349.17684261005,1024,30,1.0,False,False
transmodal_vs_uniform_energy_reduction_pct,-674.315980973865,331.412656625716,-2.0346717830255048,-2.0346717830255048,1,0.0,1.0,positive means transmodal-prior control needs less energy than uniform control,-560.860437372047,-796.788145281533,1024,30,1.0,False,False
state_target_alignment_receptor,0.13300315069221882,0.2868666653323103,0.46364101084434517,0.46364101084434517,1,0.7,0.02138697262853384,positive means modules with higher receptor prior align with larger LSD-minus-placebo state displacement,0.230850932724,0.027319123531,1024,30,0.07485440419986844,False,False
