dynamic_metric,module_dvars_feature,module_dvars_sensitivity_flag,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_rho
cross_network_communication,module_dvars_max_delta_lsd_minus_placebo,False,30,0.01715422783878649,0.09627237155406199,0.43190977654719476,0.023264148864937013,0.4131256952169076
effective_barrier_proxy,module_dvars_max_delta_lsd_minus_placebo,True,30,3.650530244302379e-06,9.918870896956845e-05,-0.7354942530571505,4.548341264929298e-06,-0.7306708244123371
entropy_diversity,module_dvars_max_delta_lsd_minus_placebo,False,30,0.1645634189647216,0.3375659876199417,-0.26041963346835556,0.2056944800012495,-0.23781979977753054
hierarchical_compression,module_dvars_max_delta_lsd_minus_placebo,False,30,0.5393873528931521,0.6959836811524543,0.11662517458852883,0.630844692950058,0.0914349276974416
metastability_proxy,module_dvars_max_delta_lsd_minus_placebo,False,30,0.5089484319669693,0.6785979092892923,-0.12543822914839164,0.39054878801410287,-0.16262513904338155
switching_rate,module_dvars_max_delta_lsd_minus_placebo,True,30,6.427593505243849e-06,0.00012855187010487698,0.7228742578457293,6.511869030574394e-06,0.7225754392109074
thalamic_coupling,module_dvars_max_delta_lsd_minus_placebo,False,30,0.006704757242077392,0.04876187085147195,0.48418038928863905,0.0053716199486801754,0.49543937708565067
within_network_stability,module_dvars_max_delta_lsd_minus_placebo,False,30,0.05513209710817757,0.1696372218713156,0.3537612728691459,0.051181763657512994,0.3592880978865406
cross_network_communication,module_dvars_max_mean_abs,False,30,0.18286635264432283,0.3410592413735527,0.2499248872271358,0.1384054118125942,0.27697441601779754
effective_barrier_proxy,module_dvars_max_mean_abs,False,30,0.11295322483630199,0.2914921931259406,-0.29544184717455896,0.045129559242413186,-0.36845033045883996
entropy_diversity,module_dvars_max_mean_abs,False,30,0.37341095355783105,0.5744783900889708,0.16850328599179498,0.29039998578440523,0.19955506117908786
hierarchical_compression,module_dvars_max_mean_abs,False,30,0.04857763326264272,0.16192544420880908,0.363118877251064,0.037249357807766455,0.3819799777530589
metastability_proxy,module_dvars_max_mean_abs,False,30,0.536938528143932,0.6959836811524543,0.11732518088914362,0.7410107692024196,0.06295884315906564
