burden_feature,direction_preserved_after_exclusion,dynamic_metric,high_burden_quantile,high_burden_threshold,mean_after_exclusion,mean_all,mean_high_burden_only,n_all,n_excluded_high_burden,n_retained_after_high_burden_exclusion,relative_change_abs,unstable_after_high_burden_exclusion
com_displacement_mean_mm_mean_abs,True,cross_network_communication,0.75,0.009181619462125385,0.05870151501326828,0.07407619939923196,0.11635658146063219,30,8,22,0.20755228414328034,False
com_displacement_mean_mm_mean_abs,True,effective_barrier_proxy,0.75,0.009181619462125385,-0.18108883953830818,-0.1491923940892797,-0.061477169104451446,30,8,22,0.2137940452241889,False
com_displacement_mean_mm_mean_abs,False,entropy_diversity,0.75,0.009181619462125385,0.006299106702580407,-0.002252607749452899,-0.02576982249254449,30,8,22,3.796361996051154,True
com_displacement_mean_mm_mean_abs,True,hierarchical_compression,0.75,0.009181619462125385,0.036503754686260284,0.05414968876858675,0.10267600749498451,30,8,22,0.32587323184326783,False
com_displacement_mean_mm_mean_abs,True,metastability_proxy,0.75,0.009181619462125385,-0.031820927312268515,-0.05396035374137739,-0.11484377642142678,30,8,22,0.41029060956900515,False
com_displacement_mean_mm_mean_abs,True,switching_rate,0.75,0.009181619462125385,0.015782828282828284,0.012345679012345677,0.002893518518518514,30,8,22,0.2784090909090912,False
com_displacement_mean_mm_mean_abs,True,thalamic_coupling,0.75,0.009181619462125385,0.1047535652262698,0.11991820431751381,0.16162096181843474,30,8,22,0.12645819021015178,False
com_displacement_mean_mm_mean_abs,True,within_network_stability,0.75,0.009181619462125385,0.03965285311614446,0.0660932867129926,0.13880447910432497,30,8,22,0.4000471895377914,False
image_dvars_mean_mean_abs,True,cross_network_communication,0.75,1.7469741028754981,0.06088088716741256,0.07407619939923196,0.11036330803673537,30,8,22,0.17813160419723445,False
image_dvars_mean_mean_abs,True,effective_barrier_proxy,0.75,1.7469741028754981,-0.14888410479366762,-0.1491923940892797,-0.150040189652213,30,8,22,0.0020663874823779104,False
image_dvars_mean_mean_abs,False,entropy_diversity,0.75,1.7469741028754981,0.0036174488974110523,-0.002252607749452899,-0.018395263528328765,30,8,22,2.605893834951797,True
image_dvars_mean_mean_abs,True,hierarchical_compression,0.75,1.7469741028754981,0.05766195591895702,0.05414968876858675,0.04449095410506849,30,8,22,0.0648621853650949,False
image_dvars_mean_mean_abs,True,metastability_proxy,0.75,1.7469741028754981,-0.053941149409877605,-0.05396035374137739,-0.05401316565300178,30,8,22,0.0003558970645713483,False
image_dvars_mean_mean_abs,True,switching_rate,0.75,1.7469741028754981,0.013678451178451177,0.012345679012345677,0.00868055555555556,30,8,22,0.10795454545454555,False
image_dvars_mean_mean_abs,True,thalamic_coupling,0.75,1.7469741028754981,0.1007909116503176,0.11991820431751381,0.17251825915230334,30,8,22,0.15950282758197293,False
image_dvars_mean_mean_abs,True,within_network_stability,0.75,1.7469741028754981,0.026051915197393808,0.0660932867129926,0.1762070583808893,30,8,22,0.6058311442352203,True
global_signal_derivative_rms_mean_abs,True,cross_network_communication,0.75,0.4026826062795333,0.06712387396498615,0.07407619939923196,0.093195094343408,30,8,22,0.09385370052230162,False
global_signal_derivative_rms_mean_abs,True,effective_barrier_proxy,0.75,0.4026826062795333,-0.15408338663787124,-0.1491923940892797,-0.13574216458065302,30,8,22,0.03278312261457964,False
global_signal_derivative_rms_mean_abs,False,entropy_diversity,0.75,0.4026826062795333,0.001754273031206046,-0.002252607749452899,-0.013271529896264997,30,8,22,1.7787743035298151,True
global_signal_derivative_rms_mean_abs,True,hierarchical_compression,0.75,0.4026826062795333,0.0575464795958804,0.05414968876858675,0.0448085139935292,30,8,22,0.06272964636620754,False
global_signal_derivative_rms_mean_abs,True,metastability_proxy,0.75,0.4026826062795333,-0.0579023563440737,-0.05396035374137739,-0.043119846583962534,30,8,22,0.07305368348009066,False
global_signal_derivative_rms_mean_abs,True,switching_rate,0.75,0.4026826062795333,0.014309764309764305,0.012345679012345677,0.0069444444444444545,30,8,22,0.15909090909090895,False
global_signal_derivative_rms_mean_abs,True,thalamic_coupling,0.75,0.4026826062795333,0.11649892893391113,0.11991820431751381,0.12932121162242116,30,8,22,0.028513397136512148,False
global_signal_derivative_rms_mean_abs,True,within_network_stability,0.75,0.4026826062795333,0.03982736155985309,0.0660932867129926,0.13832458088412625,30,8,22,0.3974068541514392,False
