claim_status,expected_direction,mean_delta,metric,null_family,prior_source,signed_effect_size
proxy_only_not_pet_receptor_claim,positive means LSD within-condition transitions need less receptor-profile control energy than placebo,4.702198506533535,lsd_vs_placebo_receptor_transition_energy_reduction_pct,coarse_receptor_proxy,coarse module-level proxy prior from receptor-gradient model config; not a PET-derived receptor map,0.37576604844255507
proxy_only_not_pet_receptor_claim,positive means LSD within-condition transitions need less uniform-control energy than placebo,6.935892752544529,lsd_vs_placebo_uniform_transition_energy_reduction_pct,uniform_control,coarse module-level proxy prior from receptor-gradient model config; not a PET-derived receptor map,0.7242170950688606
proxy_only_not_pet_receptor_claim,positive means receptor-prior control needs less energy than uniform control,-34.3869884708404,receptor_vs_uniform_energy_reduction_pct,uniform_control,coarse module-level proxy prior from receptor-gradient model config; not a PET-derived receptor map,-1.457887579613032
proxy_only_not_pet_receptor_claim,positive means receptor-prior control needs less energy than random receptor-prior permutations,-15.4342613806409,receptor_vs_random_energy_reduction_pct,random_permutation,coarse module-level proxy prior from receptor-gradient model config; not a PET-derived receptor map,-0.8321254106889895
proxy_only_not_pet_receptor_claim,positive means hierarchy-prior control needs less energy than uniform control,-300.46956304822345,hierarchy_vs_uniform_energy_reduction_pct,uniform_control,coarse module-level proxy prior from receptor-gradient model config; not a PET-derived receptor map,-2.2969792663885165
proxy_only_not_pet_receptor_claim,positive means transmodal-prior control needs less energy than uniform control,-674.315980973865,transmodal_vs_uniform_energy_reduction_pct,uniform_control,coarse module-level proxy prior from receptor-gradient model config; not a PET-derived receptor map,-2.0346717830255048
proxy_only_not_pet_receptor_claim,positive means modules with higher receptor prior align with larger LSD-minus-placebo state displacement,0.13300315069221882,state_target_alignment_receptor,coarse_receptor_proxy,coarse module-level proxy prior from receptor-gradient model config; not a PET-derived receptor map,0.46364101084434517
blocked_until_neuromaps_or_FS5ht_projection_exists,PET-derived receptor map should outperform spatial nulls,,spatial_autocorrelation_preserving_null,spatial_null_missing,missing PET receptor map,
